date,open,close,high,low,p_n_l
2024-01-16,42274.57649994,42860.25510591,43266.1550625,42216.94149443,1.38541567
2024-01-15,41777.00587893,42274.57649981,43125.30122356,41777.00587893,0.4533752
2024-01-14,43156.42268768,42083.77908165,43232.81737628,41777.00588007,-2.51735045
2024-01-13,43041.52722615,43170.5326812,43988.99292072,42178.56832,1.52052333
2024-01-12,46527.44177446,42523.94615762,46563.61393188,42247.03838691,-7.803244950000001
2024-01-11,46237.69262918,46123.03994081,48474.79999999,45000.00320064,0.25632683
2024-01-10,46201.89236147,46005.11648275,47324.2,44000.45459514,-0.56429653
2024-01-09,46210.5310916,46266.19501776,47504.01802947,43837.10726703,0.12045723
2024-01-08,43590.1031657,46210.5310916,47000.0,42837.04728224,6.0115203600000005
2024-01-07,43907.75810559,43590.10316569,44307.30766139,43004.49047347,-0.96489869
2024-01-06,43710.98861337,44014.8014082,44075.7288588,43066.92700448,0.77729008
2024-01-05,43146.3242003,43675.31749696,44140.69259957,42501.28641871,-1.0542995
2024-01-04,42490.50974712,44140.69259961,44150.0,42247.03838691,2.22044817
2024-01-03,45268.95954579,43181.86173902,45478.54236,40600.0002,-4.61072358
2024-01-02,43744.67799936,45269.09455489,45883.00306723,43744.67799936,3.53563558
2024-01-01,42389.72892552,43723.20148622,43723.20148622,42205.53881072,3.34977252
2023-12-31,42506.63690925,42306.04521045,42879.99999999,41873.9279632,-0.47282142
2023-12-30,41691.60972832,42507.02754251,43100.011516,41342.70938657,1.9412106
2023-12-29,42759.1791053,41697.5895155,43100.05091755,41342.70938653,-2.48271742
2023-12-28,43429.80058221,42759.1791053,43723.20108611,42500.00000004,-1.46601389
2023-12-27,42300.0012125,43395.36112531,43497.0,42064.26820085,1.80851816
2023-12-26,43124.69236077,42624.48949184,43694.98538298,41843.44007493,-1.1597225
2023-12-25,42913.01664247,43124.61535991,43798.80259665,42512.53101838,-0.40856243
2023-12-24,43425.84205708,43301.52914138,43869.6,42700.0018,-0.70487797
2023-12-23,43641.72552135,43608.91880161,43809.51,42501.05631163,-0.20678424
2023-12-22,43692.71937743,43699.2820287,44067.99999999,43000.36000069,0.01502001
2023-12-21,42275.16631065,43692.71937718,43999.99999991,42267.32160477,1.22116903
2023-12-20,42384.21155454,43165.59450595,43852.900581,41878.98795158,1.80162298
2023-12-19,42442.92792,42401.67616445,43343.98,41072.56960858,-0.0971934699999999
2023-12-18,41224.13242564,42442.92792,42641.3598,40507.19767525,1.91487038
